Player,Team,Pos,Injury,Status,Est. Return
Rafael Ortega,NYM,OF,Undisclosed,7-Day IL,Subscribers Only
Oliver Ortega,NYM,P,Elbow,7-Day IL,Subscribers Only
Luis F. Ortiz,NYM,P,Elbow,60-Day IL,Subscribers Only
Jose Ortiz,SF,OF,Undisclosed,7-Day IL,Subscribers Only
Bryce Osmond,LAA,P,Undisclosed,60-Day IL,Subscribers Only
Micah Ottenbreit,PHI,P,Undisclosed,60-Day IL,Subscribers Only
Glenn Otto,HOU,P,Shoulder,7-Day IL,Subscribers Only
Connor Overton,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Johan Oviedo,PIT,P,Lat,60-Day IL,Subscribers Only
Sandy Ozuna,COL,P,Undisclosed,60-Day IL,Subscribers Only
Jedixson Paez,BOS,P,Undisclosed,7-Day IL,Subscribers Only
Richie Palacios,TB,2B,Knee,10-Day IL,Subscribers Only
Miguel Palma,HOU,C,Undisclosed,60-Day IL,Subscribers Only
Wen-Hui Pan,PHI,P,Elbow,60-Day IL,Subscribers Only
Inohan Paniagua,FA,P,Undisclosed,Out,Subscribers Only
Thomas Pannone,MIL,P,Forearm,60-Day IL,Subscribers Only
Joc Pederson,TEX,DH,Hand,10-Day IL,Subscribers Only
Jack Penney,DET,3B,Undisclosed,7-Day IL,Subscribers Only
Luis Perales,BOS,P,Elbow,60-Day IL,Subscribers Only
Angel Perdomo,ATH,P,Undisclosed,7-Day IL,Subscribers Only
Martin Perez,CWS,P,Elbow,60-Day IL,Subscribers Only
Blake Perkins,MIL,OF,Lower Leg,60-Day IL,Subscribers Only
Alex Pham,BAL,P,Forearm,7-Day IL,Subscribers Only
Evan Phillips,LAD,P,Elbow,60-Day IL,Subscribers Only
Cole Phillips,SEA,P,Elbow,60-Day IL,Subscribers Only
Carson Pierce,TOR,P,Undisclosed,60-Day IL,Subscribers Only
Riley Pint,CLE,P,Undisclosed,60-Day IL,Subscribers Only
Chandler Pollard,TEX,SS,Undisclosed,7-Day IL,Subscribers Only
Davis Polo,ATL,P,Undisclosed,60-Day IL,Subscribers Only
Cody Poteet,BAL,P,Shoulder,60-Day IL,Subscribers Only
Cade Povich,BAL,P,Hip,15-Day IL,Subscribers Only
Jurickson Profar,ATL,OF,Suspension,Suspension,Subscribers Only
A.J. Puk,ARI,P,Elbow,60-Day IL,Subscribers Only
Zack Qin,SD,P,Undisclosed,60-Day IL,Subscribers Only
Cole Ragans,KC,P,Shoulder,15-Day IL,Subscribers Only
Bryce Rainer,DET,SS,Shoulder,60-Day IL,Subscribers Only
Brooks Raley,NYM,P,Elbow,60-Day IL,Subscribers Only
Erasmo Ramirez,MIN,P,Shoulder,60-Day IL,Subscribers Only
Luis Ramirez,TEX,P,Undisclosed,60-Day IL,Subscribers Only
Rafael Ramirez,WSH,SS,Undisclosed,7-Day IL,Subscribers Only
Ramon Ramirez,KC,C,Undisclosed,7-Day IL,Subscribers Only
Patrick Reilly,BAL,P,Elbow,60-Day IL,Subscribers Only
Anthony Rendon,LAA,3B,Hip,60-Day IL,Subscribers Only
Orlando Ribalta,WSH,P,Biceps,15-Day IL,Subscribers Only
Yacksel Rios,NYM,P,Undisclosed,60-Day IL,Subscribers Only
Sem Robberse,STL,P,Elbow,60-Day IL,Subscribers Only
Kristian Robinson,ARI,OF,Undisclosed,7-Day IL,Subscribers Only
Hayden Robinson,MIL,P,Elbow,Out,Subscribers Only
Victor Robles,SEA,OF,Shoulder,60-Day IL,Subscribers Only
Domingo Robles,ATH,P,Undisclosed,60-Day IL,Subscribers Only
Brendan Rodgers,HOU,2B,Oblique,10-Day IL,Subscribers Only
Chris Rodriguez,CWS,P,Undisclosed,7-Day IL,Subscribers Only
Grayson Rodriguez,BAL,P,Lat,60-Day IL,Subscribers Only
Emmanuel Rodriguez,MIN,OF,Hip,7-Day IL,Subscribers Only
Manuel Rodriguez,TB,P,Forearm,15-Day IL,Subscribers Only
Endy Rodriguez,PIT,C,Elbow,60-Day IL,Subscribers Only
Luis R. Rodriguez,NYM,P,Undisclosed,7-Day IL,Subscribers Only
Carlos Rodriguez,MIL,P,Forearm,7-Day IL,Subscribers Only
Miguel Rodriguez,BAL,C,Ankle,60-Day IL,Subscribers Only
Manuel Rodriguez,MIL,P,Undisclosed,7-Day IL,Subscribers Only
Ramon Rodriguez,MIL,C,Undisclosed,60-Day IL,Subscribers Only
Kendry Rojas,TOR,P,Abdomen,7-Day IL,Subscribers Only
Franklin Rojas,TOR,C,Undisclosed,7-Day IL,Subscribers Only
Drew Rom,STL,P,Undisclosed,7-Day IL,Subscribers Only
Kiko Romero,NYY,1B,Undisclosed,7-Day IL,Subscribers Only
Eguy Rosario,SD,3B,Groin,60-Day IL,Subscribers Only
Alejandro Rosario,TEX,P,Elbow,60-Day IL,Subscribers Only
Jaden Rudd,TOR,OF,Undisclosed,7-Day IL,Subscribers Only
Matt Rudick,NYM,OF,Elbow,60-Day IL,Subscribers Only
Keibert Ruiz,WSH,C,Head,10-Day IL,Subscribers Only
Adley Rutschman,BAL,C,Oblique,10-Day IL,Subscribers Only
River Ryan,LAD,P,Elbow,60-Day IL,Subscribers Only
Erik Sabrowski,CLE,P,Elbow,60-Day IL,Subscribers Only
Ethan Salas,SD,C,Back,7-Day IL,Subscribers Only
Chris Sale,ATL,P,Ribs,15-Day IL,Subscribers Only
Royber Salinas,ATL,P,Shoulder,60-Day IL,Subscribers Only
Devin Saltiban,PHI,2B,Undisclosed,7-Day IL,Subscribers Only
Patrick Sandoval,BOS,P,Elbow,60-Day IL,Subscribers Only
Yohanfer Santana,MIA,P,Elbow,Out,Subscribers Only
Anthony Santander,TOR,OF,Shoulder,10-Day IL,Subscribers Only
Gregory Santos,SEA,P,Knee,60-Day IL,Subscribers Only
Victor Santos,STL,P,Undisclosed,60-Day IL,Subscribers Only
Dahian Santos,TOR,P,Undisclosed,60-Day IL,Subscribers Only
Winston Santos,TEX,P,Back,7-Day IL,Subscribers Only
Roki Sasaki,LAD,P,Shoulder,60-Day IL,Subscribers Only
Casey Saucke,CWS,OF,Elbow,60-Day IL,Subscribers Only
Josh Sborz,TEX,P,Shoulder,60-Day IL,Subscribers Only
Max Scherzer,TOR,P,Thumb,60-Day IL,Subscribers Only
Tanner Schobel,MIN,2B,Forearm,60-Day IL,Subscribers Only
Jesse Scholtens,CWS,P,Elbow,60-Day IL,Subscribers Only
Connor Scott,KC,OF,Undisclosed,60-Day IL,Subscribers Only
Christian Scott,NYM,P,Elbow,60-Day IL,Subscribers Only
Kodai Senga,NYM,P,Hamstring,15-Day IL,Subscribers Only
Luis Serna,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Paul Sewald,CLE,P,Shoulder,15-Day IL,Subscribers Only
Reese Sharp,BAL,P,Elbow,60-Day IL,Subscribers Only
Ben Shields,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Jared Shuster,CWS,P,Finger,15-Day IL,Subscribers Only
Chase Silseth,LAA,P,Undisclosed,7-Day IL,Subscribers Only
Andres Silvera,PIT,P,Undisclosed,60-Day IL,Subscribers Only
Kohl Simas,CWS,P,Undisclosed,60-Day IL,Subscribers Only
Anthony Simonelli,KC,P,Undisclosed,60-Day IL,Subscribers Only
Jose Siri,NYM,OF,Lower Leg,60-Day IL,Subscribers Only
Justin Slaten,BOS,P,Shoulder,15-Day IL,Subscribers Only
Ethan Small,SF,P,Undisclosed,7-Day IL,Subscribers Only
Drew Smith,NYM,P,Elbow,60-Day IL,Subscribers Only
Russell Smith,MIL,P,Undisclosed,7-Day IL,Subscribers Only
Cade Smith,NYY,P,Shoulder,7-Day IL,Subscribers Only
AJ Smith-Shawver,ATL,P,Elbow,60-Day IL,Subscribers Only
Blake Snell,LAD,P,Shoulder,60-Day IL,Subscribers Only
Collin Snider,SEA,P,Forearm,15-Day IL,Subscribers Only
Jorge Soler,LAA,OF,Back,10-Day IL,Subscribers Only
Anthony Solometo,PIT,P,Shoulder,60-Day IL,Subscribers Only
Thomas Sosa,BAL,OF,Undisclosed,7-Day IL,Subscribers Only
Charlee Soto,MIN,P,Triceps,60-Day IL,Subscribers Only
Carson Spiers,CIN,P,Shoulder,60-Day IL,Subscribers Only
John Spikerman,PHI,OF,Undisclosed,7-Day IL,Subscribers Only
Josh Staumont,CIN,P,Undisclosed,60-Day IL,Subscribers Only
Justin Steele,CHC,P,Elbow,60-Day IL,Subscribers Only
Trevor Stephan,CLE,P,Elbow,60-Day IL,Subscribers Only
Robert Stephenson,LAA,P,Biceps,15-Day IL,Subscribers Only
Kevin Stevens,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Gavin Stone,LAD,P,Shoulder,60-Day IL,Subscribers Only
Marcus Stroman,NYY,P,Knee,15-Day IL,Subscribers Only
Albert Suarez,BAL,P,Shoulder,60-Day IL,Subscribers Only
Eugenio Suarez,ARI,3B,Hand,Day-To-Day,Subscribers Only
Jose Suarez,ATL,P,Undisclosed,7-Day IL,Subscribers Only
Robert Suarez,SD,P,Suspension,Suspension,Subscribers Only
Alexander Suarez,SF,OF,Undisclosed,60-Day IL,Subscribers Only
Santiago Suarez,TB,P,Undisclosed,7-Day IL,Subscribers Only
Cameron Sullivan,CLE,P,Elbow,60-Day IL,Subscribers Only
Jarlin Susana,WSH,P,Elbow,7-Day IL,Subscribers Only
Zach Swanson,DET,P,Elbow,60-Day IL,Subscribers Only
Nic Swanson,HOU,P,Undisclosed,7-Day IL,Subscribers Only
Carlos Tavera,BAL,P,Undisclosed,7-Day IL,Subscribers Only
Chris Taylor,LAA,2B,Hand,10-Day IL,Subscribers Only
Carson Taylor,PHI,C,Undisclosed,60-Day IL,Subscribers Only
Enmanuel Tejeda,NYY,3B,Undisclosed,60-Day IL,Subscribers Only
Connor Thomas,MIL,P,Elbow,60-Day IL,Subscribers Only
Andy Thomas,SD,C,Personal,Out,Subscribers Only
Mason Thompson,WSH,P,Elbow,60-Day IL,Subscribers Only
Zach Thompson,ATL,P,Undisclosed,7-Day IL,Subscribers Only
Zack Thompson,STL,P,Lat,60-Day IL,Subscribers Only
Jake Thompson,MIA,OF,Undisclosed,7-Day IL,Subscribers Only
Drew Thorpe,CWS,P,Elbow,60-Day IL,Subscribers Only
Ricky Tiedemann,TOR,P,Elbow,60-Day IL,Subscribers Only
Izack Tiger,TEX,P,Elbow,60-Day IL,Subscribers Only
Junior Tilien,DET,SS,Oblique,60-Day IL,Subscribers Only
Jesus Tinoco,MIA,P,Forearm,15-Day IL,Subscribers Only
Andrew Toles,LAD,OF,Personal,Out,Subscribers Only
Alejandro Torres,HOU,P,Undisclosed,7-Day IL,Subscribers Only
Ezequiel Tovar,COL,SS,Oblique,10-Day IL,Subscribers Only
Blake Treinen,LAD,P,Forearm,60-Day IL,Subscribers Only
Fenwick Trimble,MIA,OF,Hamstring,7-Day IL,Subscribers Only
Brady Tygart,BOS,P,Undisclosed,60-Day IL,Subscribers Only
Miguel Ugueto,STL,OF,Undisclosed,7-Day IL,Subscribers Only
Jose Urquidy,DET,P,Elbow,60-Day IL,Subscribers Only
Enmanuel Valdez,PIT,2B,Shoulder,60-Day IL,Subscribers Only
Luis Valdez,TEX,P,Undisclosed,60-Day IL,Subscribers Only
Derniche Valdez,CHC,SS,Undisclosed,7-Day IL,Subscribers Only
Juan Valera,BOS,P,Elbow,7-Day IL,Subscribers Only
Logan VanWey,HOU,P,Undisclosed,7-Day IL,Subscribers Only
Ildemaro Vargas,ARI,3B,Foot,10-Day IL,Subscribers Only
Daulton Varsho,TOR,OF,Hamstring,10-Day IL,Subscribers Only
Luis Velasquez,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Thyago Vieira,FA,P,Elbow,Out,Subscribers Only
Mark Vientos,NYM,3B,Hamstring,10-Day IL,Subscribers Only
Matt Vierling,DET,OF,Shoulder,10-Day IL,Subscribers Only
Darius Vines,ATL,P,Undisclosed,60-Day IL,Subscribers Only
Luke Waddell,ATL,SS,Undisclosed,7-Day IL,Subscribers Only
Jacob Waguespack,TB,P,Undisclosed,7-Day IL,Subscribers Only
Cole Waites,SF,P,Undisclosed,7-Day IL,Subscribers Only
Ken Waldichuk,ATH,P,Elbow,60-Day IL,Subscribers Only
Blake Walston,ARI,P,Elbow,60-Day IL,Subscribers Only
Andrew Walters,CLE,P,Lat,60-Day IL,Subscribers Only
Andrew Wantz,TB,P,Elbow,60-Day IL,Subscribers Only
Ryan Weathers,MIA,P,Lat,60-Day IL,Subscribers Only
Blake Wehunt,BOS,P,Undisclosed,7-Day IL,Subscribers Only
Blake Weiman,HOU,P,Undisclosed,7-Day IL,Subscribers Only
Tyler Wells,BAL,P,Elbow,60-Day IL,Subscribers Only
Hayden Wesneski,HOU,P,Elbow,60-Day IL,Subscribers Only
Jordan Westburg,BAL,2B,Finger,Day-To-Day,Subscribers Only
Evan White,LAA,1B,Hip,7-Day IL,Subscribers Only
Kodi Whitley,TB,P,Undisclosed,60-Day IL,Subscribers Only
Kyle Whitten,TB,P,Undisclosed,60-Day IL,Subscribers Only
Jordan Wicks,CHC,P,Undisclosed,7-Day IL,Subscribers Only
Brock Wilken,MIL,3B,Knee,Out,Subscribers Only
Case Williams,COL,P,Triceps,60-Day IL,Subscribers Only
Brandon Williamson,CIN,P,Elbow,60-Day IL,Subscribers Only
Paul Wilson,DET,P,Undisclosed,60-Day IL,Subscribers Only
Josh Winckowski,BOS,P,Elbow,60-Day IL,Subscribers Only
Josh Winder,FA,P,Elbow,Out,Subscribers Only
Patrick Winkel,MIN,C,Wrist,7-Day IL,Subscribers Only
Jesse Winker,NYM,OF,Oblique,60-Day IL,Subscribers Only
Keaton Winn,SF,P,Undisclosed,7-Day IL,Subscribers Only
Alex Wood,FA,P,Shoulder,Out,Subscribers Only
Brandon Woodruff,MIL,P,Elbow,60-Day IL,Subscribers Only
Jason Woodward,MIL,P,Undisclosed,60-Day IL,Subscribers Only
Ryan Yarbrough,NYY,P,Oblique,15-Day IL,Subscribers Only
Masataka Yoshida,BOS,DH,Shoulder,60-Day IL,Subscribers Only
Alex Young,CIN,P,Elbow,60-Day IL,Subscribers Only
Carter Young,BAL,SS,Undisclosed,60-Day IL,Subscribers Only
Danny Young,NYM,P,Elbow,60-Day IL,Subscribers Only
Alfredo Zarraga,TB,P,Undisclosed,60-Day IL,Subscribers Only
Calvin Ziegler,NYM,P,Elbow,Out,Subscribers Only
Steven Zobac,KC,P,Knee,7-Day IL,Subscribers Only
