Player,Team,Pos,Injury,Status,Est. Return
Logan Cerny,HOU,OF,Undisclosed,7-Day IL,Subscribers Only
Moises Chace,PHI,P,Elbow,60-Day IL,Subscribers Only
Javier Chacon,SD,P,Undisclosed,60-Day IL,Subscribers Only
Andrew Chafin,WSH,P,Hamstring,15-Day IL,Subscribers Only
Matt Chapman,SF,3B,Hand,10-Day IL,Subscribers Only
Marc Church,TEX,P,Elbow,7-Day IL,Subscribers Only
Brandon Clarke,BOS,P,Finger,Out,Subscribers Only
Alex Cobb,DET,P,Hip,60-Day IL,Subscribers Only
Adisyn Coffey,CWS,P,Undisclosed,7-Day IL,Subscribers Only
Gerrit Cole,NYY,P,Elbow,60-Day IL,Subscribers Only
Carson Coleman,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Griffin Conine,MIA,OF,Shoulder,60-Day IL,Subscribers Only
Alex Cook,TB,P,Undisclosed,60-Day IL,Subscribers Only
Connor Cooke,TOR,P,Undisclosed,60-Day IL,Subscribers Only
Jose Corniell,TEX,P,Elbow,60-Day IL,Subscribers Only
Nestor Cortes,MIL,P,Elbow,60-Day IL,Subscribers Only
Magdiel Cotto,PIT,P,Undisclosed,60-Day IL,Subscribers Only
Isaiah Coupet,COL,P,Undisclosed,60-Day IL,Subscribers Only
Jake Cousins,NYY,P,Elbow,60-Day IL,Subscribers Only
Hunter Cranton,SEA,P,Concussion,7-Day IL,Subscribers Only
Kutter Crawford,BOS,P,Wrist,60-Day IL,Subscribers Only
Reggie Crawford,SF,P,Shoulder,60-Day IL,Subscribers Only
Dylan Crews,WSH,OF,Oblique,10-Day IL,Subscribers Only
Demetrio Crisantes,ARI,2B,Shoulder,7-Day IL,Subscribers Only
Jeff Criswell,COL,P,Elbow,60-Day IL,Subscribers Only
Matt Cronin,SEA,P,Undisclosed,7-Day IL,Subscribers Only
Gavin Cross,KC,OF,Back,7-Day IL,Subscribers Only
Hans Crouse,FA,P,Undisclosed,Out,Subscribers Only
Coleman Crow,MIL,P,Hip,7-Day IL,Subscribers Only
Danyer Cueva,TEX,SS,Undisclosed,60-Day IL,Subscribers Only
Candido Cuevas,NYM,P,Undisclosed,60-Day IL,Subscribers Only
Bryce Cunningham,NYY,P,Undisclosed,7-Day IL,Subscribers Only
Yoniel Curet,TB,P,Shoulder,60-Day IL,Subscribers Only
R.J. Dabovich,SF,P,Undisclosed,60-Day IL,Subscribers Only
Chad Dallas,TOR,P,Undisclosed,60-Day IL,Subscribers Only
Yu Darvish,SD,P,Elbow,60-Day IL,Subscribers Only
Yerry De Los Santos,NYY,P,Elbow,15-Day IL,Subscribers Only
Paul DeJong,WSH,SS,Orbital,10-Day IL,Subscribers Only
Adrian Del Castillo,ARI,C,Back,7-Day IL,Subscribers Only
Jonny DeLuca,TB,OF,Shoulder,60-Day IL,Subscribers Only
Austin Deming,HOU,3B,Undisclosed,7-Day IL,Subscribers Only
Nolan DeVos,HOU,P,Undisclosed,60-Day IL,Subscribers Only
Zach Dezenzo,HOU,1B,Hand,10-Day IL,Subscribers Only
Derek Diamond,PIT,P,Undisclosed,7-Day IL,Subscribers Only
Khadim Diaw,MIN,C,Undisclosed,7-Day IL,Subscribers Only
Camilo Diaz,HOU,SS,Undisclosed,60-Day IL,Subscribers Only
Hunter Dobbins,BOS,P,Elbow,15-Day IL,Subscribers Only
Logan Driscoll,TB,C,Ankle,60-Day IL,Subscribers Only
Shane Drohan,BOS,P,Forearm,7-Day IL,Subscribers Only
Daniel Duarte,MIN,P,Elbow,60-Day IL,Subscribers Only
Shawn Dubin,HOU,P,Forearm,15-Day IL,Subscribers Only
Matt Duffy,BOS,P,Elbow,60-Day IL,Subscribers Only
Ross Dunn,MIN,P,Forearm,60-Day IL,Subscribers Only
Andrew Dutkanych,STL,P,Undisclosed,60-Day IL,Subscribers Only
Joe Elbis,ARI,P,Undisclosed,Out,Subscribers Only
Bryce Eldridge,SF,1B,Hamstring,Day-To-Day,Subscribers Only
Fraser Ellard,CWS,P,Lat,60-Day IL,Subscribers Only
Duke Ellis,NYY,OF,Undisclosed,7-Day IL,Subscribers Only
Kale Emshoff,TEX,C,Undisclosed,60-Day IL,Subscribers Only
Jerar Encarnacion,SF,OF,Oblique,10-Day IL,Subscribers Only
Nathan Eovaldi,TEX,P,Triceps,15-Day IL,Subscribers Only
Mason Erla,LAA,P,Undisclosed,60-Day IL,Subscribers Only
Daniel Espino,CLE,P,Shoulder,60-Day IL,Subscribers Only
Albert Fabian,SD,1B,Undisclosed,60-Day IL,Subscribers Only
Alex Faedo,TB,P,Shoulder,60-Day IL,Subscribers Only
Jonny Farmelo,SEA,OF,Ribs,7-Day IL,Subscribers Only
Daniel Federman,BAL,P,Undisclosed,60-Day IL,Subscribers Only
Brady Feigl,MIN,P,Shoulder,7-Day IL,Subscribers Only
Angel Felipe,LAA,P,Elbow,60-Day IL,Subscribers Only
Ryan Feltner,COL,P,Back,60-Day IL,Subscribers Only
Wilmer Flores,DET,P,Shoulder,60-Day IL,Subscribers Only
Ty Floyd,CIN,P,Undisclosed,7-Day IL,Subscribers Only
Jason Foley,DET,P,Shoulder,60-Day IL,Subscribers Only
T.J. Fondtain,TB,P,Undisclosed,7-Day IL,Subscribers Only
Ryan Forcucci,HOU,P,Elbow,60-Day IL,Subscribers Only
J.P. France,HOU,P,Shoulder,60-Day IL,Subscribers Only
Bowden Francis,TOR,P,Shoulder,15-Day IL,Subscribers Only
Wander Franco,TB,SS,Personal,Out,Subscribers Only
Kohl Franklin,CHC,P,Elbow,7-Day IL,Subscribers Only
Kyle Freeland,COL,P,Back,15-Day IL,Subscribers Only
Zach Fruit,BAL,P,Lat,7-Day IL,Subscribers Only
Nate Furman,SF,2B,Shoulder,60-Day IL,Subscribers Only
Yorman Galindez,MIL,P,Undisclosed,60-Day IL,Subscribers Only
Jesus Galiz,LAD,C,Undisclosed,60-Day IL,Subscribers Only
Giovanny Gallegos,LAD,P,Undisclosed,60-Day IL,Subscribers Only
Avisail Garcia,FA,OF,Back,Out,Subscribers Only
Luis Garcia,LAD,P,Thigh,15-Day IL,Subscribers Only
Yimi Garcia,TOR,P,Shoulder,15-Day IL,Subscribers Only
Luis Garcia,HOU,P,Elbow,60-Day IL,Subscribers Only
Jogly Garcia,CLE,P,Undisclosed,7-Day IL,Subscribers Only
Tristan Garnett,PHI,P,Undisclosed,60-Day IL,Subscribers Only
Amir Garrett,TOR,P,Undisclosed,60-Day IL,Subscribers Only
Braxton Garrett,MIA,P,Elbow,60-Day IL,Subscribers Only
Mickey Gasper,MIN,C,Foot,7-Day IL,Subscribers Only
Robert Gasser,MIL,P,Elbow,60-Day IL,Subscribers Only
Zack Gelof,ATH,2B,Ribs,60-Day IL,Subscribers Only
Luis Gil,NYY,P,Lat,60-Day IL,Subscribers Only
Logan Gillaspie,SD,P,Oblique,15-Day IL,Subscribers Only
Tyler Glasnow,LAD,P,Shoulder,60-Day IL,Subscribers Only
Tony Gonsolin,LAD,P,Elbow,60-Day IL,Subscribers Only
Marco Gonzales,FA,P,Forearm,Out,Subscribers Only
Victor Gonzalez,LAA,P,Undisclosed,7-Day IL,Subscribers Only
Tanner Gordon,COL,P,Oblique,15-Day IL,Subscribers Only
Matt Gorski,PIT,OF,Undisclosed,60-Day IL,Subscribers Only
Tyler Gough,SEA,P,Elbow,60-Day IL,Subscribers Only
Brusdar Graterol,LAD,P,Shoulder,60-Day IL,Subscribers Only
Kendall Graveman,ARI,P,Hip,15-Day IL,Subscribers Only
Jon Gray,TEX,P,Wrist,60-Day IL,Subscribers Only
Josiah Gray,WSH,P,Elbow,60-Day IL,Subscribers Only
Drew Gray,CHC,P,Shoulder,60-Day IL,Subscribers Only
Hunter Greene,CIN,P,Groin,15-Day IL,Subscribers Only
Caden Grice,ARI,P,Elbow,60-Day IL,Subscribers Only
Michael Grove,LAD,P,Shoulder,60-Day IL,Subscribers Only
Luis Guanipa,ATL,OF,Undisclosed,7-Day IL,Subscribers Only
Sean Guenther,DET,P,Undisclosed,7-Day IL,Subscribers Only
David Guzman,TOR,OF,Undisclosed,7-Day IL,Subscribers Only
Owen Hall,DET,P,Shoulder,7-Day IL,Subscribers Only
Chase Hampton,NYY,P,Elbow,60-Day IL,Subscribers Only
Maverick Handley,BAL,C,Concussion,7-Day IL,Subscribers Only
