P,P,C,1B,2B,3B,SS,OF,OF,OF
39204241,39203788,39204001,39203875,39203889,39203847,39203912,39203807,39203846,39203964
39204241,39203788,39204001,39203875,39203889,39203850,39203912,39203806,39203854,39203964
39204241,39203788,39204001,39203981,39203889,39203847,39203833,39203807,39203854,39203964
39204241,39204162,39204001,39203875,39203889,39203982,39203912,39203806,39203817,39203964
39204241,39203788,39204001,39203981,39203889,39203850,39203912,39203807,39203817,39203964
39204241,39203788,39204001,39203875,39203889,39203847,39203833,39203817,39203873,39203964
39204241,39203788,39204001,39203961,39203889,39203982,39203912,39203806,39203807,39203964
39204241,39203788,39204001,39203875,39203889,39203982,39203885,39203807,39203817,39203964
39204241,39203788,39204001,39203875,39203889,39203982,39203833,39203806,39203846,39203964
39204241,39203788,39204001,39203875,39203883,39203847,39203912,39203806,39203873,39203964
