Lineup,Position,Name,Team,Opponent,Salary,Avg Points,Game Info
8,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
8,1B,Pete Alonso,NYM,ATL,5200,9.29,ATL@NYM 06/25/2025 07:10PM ET
8,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
8,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
8,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
8,OF,Byron Buxton,MIN,SEA,5700,10.53,SEA@MIN 06/25/2025 07:40PM ET
8,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
8,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
9,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
9,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
9,C,Miguel Amaya,CHC,STL,3700,7.85,CHC@STL 06/25/2025 07:45PM ET
9,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
9,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
9,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
9,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
9,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
9,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
9,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
10,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
10,P,Hunter Brown,HOU,PHI,10500,24.47,PHI@HOU 06/25/2025 08:10PM ET
10,C,Miguel Amaya,CHC,STL,3700,7.85,CHC@STL 06/25/2025 07:45PM ET
10,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
10,2B,Luke Keaschall,MIN,SEA,3500,11.14,SEA@MIN 06/25/2025 07:40PM ET
10,3B,Noelvi Marte,CIN,NYY,3300,9.37,NYY@CIN 06/25/2025 07:10PM ET
10,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
10,OF,Byron Buxton,MIN,SEA,5700,10.53,SEA@MIN 06/25/2025 07:40PM ET
10,OF,Austin Hays,CIN,NYY,3900,9.71,NYY@CIN 06/25/2025 07:10PM ET
10,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
